,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
164,2023-06-14,3,3,6,2,4,2,2,15,8,8,7,3,5,3,2,7,1,4,2,3,7,7,2,2,3
165,2023-06-15,4,3,9,1,7,4,2,12,4,12,4,2,5,3,9,3,2,1,4,5,2,3,1,1,2
166,2023-06-16,2,3,7,4,8,4,3,16,5,5,6,3,4,5,2,1,5,2,2,1,6,7,1,4,1
167,2023-06-17,5,2,2,7,5,3,4,14,3,7,9,1,1,4,4,4,3,3,3,3,4,2,1,4,1
168,2023-06-18,2,6,3,5,4,3,7,8,3,4,6,5,2,1,2,1,5,4,2,1,3,0,2,1,0
169,2023-06-19,3,1,4,6,5,3,3,18,4,10,7,3,1,4,3,1,4,2,5,2,4,3,2,1,4
170,2023-06-20,4,8,4,2,4,3,1,6,0,11,6,2,1,0,7,2,2,2,1,2,7,3,1,4,1
171,2023-06-21,3,3,8,6,4,4,3,15,5,6,3,1,5,4,1,1,3,6,2,7,8,1,1,3,0
172,2023-06-22,3,2,4,8,1,4,2,1,2,4,4,1,2,3,4,5,2,1,1,2,4,6,1,1,7
173,2023-06-23,2,3,8,5,6,4,5,14,2,7,4,4,6,4,8,6,3,0,4,6,10,4,1,3,2
174,2023-06-24,3,8,5,5,4,6,7,7,5,9,6,1,5,5,6,0,1,1,4,2,3,2,1,1,4
175,2023-06-25,2,3,3,2,2,2,4,7,5,5,2,3,1,10,1,1,0,0,2,1,10,2,2,1,0
176,2023-06-26,4,3,2,2,4,3,3,14,7,9,9,0,8,3,3,1,3,8,1,1,6,3,0,5,2
177,2023-06-27,2,3,1,3,6,4,2,12,2,8,5,5,12,8,4,2,2,3,5,3,4,2,4,1,2
178,2023-06-28,1,4,7,3,1,5,2,9,6,6,2,5,1,5,5,0,4,0,5,3,6,2,1,1,6
179,2023-06-29,2,3,7,10,6,2,7,14,3,9,5,3,3,2,3,4,1,1,2,3,7,5,0,1,3
180,2023-06-30,3,2,7,3,6,4,2,8,2,10,6,5,4,1,2,3,4,5,2,1,5,2,0,3,3
181,2023-07-01,3,4,3,3,1,5,2,13,5,7,5,4,2,2,6,6,2,2,4,5,1,3,5,4,2
182,2023-07-02,2,5,3,5,4,4,1,9,1,10,2,2,1,1,3,2,2,1,1,1,5,2,1,0,2
183,2023-07-03,5,4,4,7,4,5,1,13,9,8,9,2,10,3,5,4,1,1,4,0,2,3,0,2,1
184,2023-07-04,3,1,4,6,7,3,0,16,2,8,10,2,1,5,4,5,0,3,3,0,5,1,1,2,2
185,2023-07-05,5,2,2,6,5,2,1,20,0,8,7,1,2,3,1,2,1,1,2,4,5,4,2,0,0
186,2023-07-06,3,2,3,3,5,0,2,14,4,11,8,2,3,2,3,5,4,2,4,0,5,2,1,1,2
187,2023-07-07,4,1,2,5,8,3,8,16,8,8,4,6,7,5,4,1,3,1,1,3,5,4,0,4,2
188,2023-07-08,5,1,4,3,4,2,3,11,4,3,3,1,2,1,3,4,1,3,5,4,2,3,0,4,0
189,2023-07-09,0,6,5,6,5,2,4,4,2,4,2,1,1,0,2,0,1,2,3,0,7,2,1,1,1
190,2023-07-10,4,1,3,2,6,7,3,5,8,6,4,1,4,4,4,2,3,3,4,3,4,3,1,4,3
